store,item,smape
7,5,24.538713637440328
7,27,23.434049616443
5,41,23.404261808500944
7,41,23.271916233670588
6,5,22.373529194290285
5,27,22.307289790327207
6,4,21.85995094632924
7,4,21.628805236437422
1,41,21.3900953804106
5,47,20.983905197638585
1,16,20.581214437117293
5,5,20.36584167799645
7,49,20.330292553337852
1,5,20.230716221591823
7,1,20.188612960217224
5,1,20.132472387901643
1,1,20.12534707953972
6,1,19.868797912866192
6,41,19.791969452743775
10,5,19.676379866049245
9,41,19.47157915173509
5,23,19.319531984297765
7,16,19.255342868982666
5,34,19.16041931089709
5,37,19.152871940017228
7,47,19.111557528335258
4,5,18.99692458042481
6,23,18.91179997409931
7,23,18.89856754718405
1,37,18.72054808426388
4,4,18.66330380905716
5,4,18.646127062400975
7,17,18.583313820684104
7,37,18.35515505471332
7,34,18.291446563676477
5,40,18.284894301579772
4,27,18.036885226788513
7,3,17.907273375059297
10,4,17.840937865432664
6,49,17.645238114844155
5,16,17.62851131493752
6,47,17.582197167542805
9,5,17.568548181740173
4,1,17.56465206474265
3,4,17.563098430925717
6,3,17.504134907159134
6,27,17.478035888723138
6,40,17.436369231144262
7,40,17.25592708549261
5,44,17.244987295478328
9,47,17.173488081691772
7,42,17.167979967657185
4,23,17.156521706236706
2,47,17.129520671763895
9,23,17.068881043967597
9,4,17.067687517872816
8,41,16.994615897614963
6,44,16.979227871060232
1,44,16.87495781683109
2,1,16.836288085434536
9,17,16.82537544136869
6,42,16.813543379093623
6,17,16.78891777198568
3,5,16.71461699287073
9,27,16.708286668423202
9,37,16.699021602985432
4,47,16.632533329539008
1,4,16.628006124437064
4,41,16.470366851299733
1,27,16.38492241594659
10,47,16.329602221381744
4,44,16.308995533460454
6,34,16.252040192674503
8,23,16.186938447383387
1,47,16.091126647210036
7,44,16.087604406749165
4,34,16.039152422832473
1,34,15.8657688074303
9,34,15.864594671800086
3,40,15.836457317494727
5,20,15.756619348980989
9,40,15.709934074674331
1,40,15.670706872006484
3,27,15.650682472843386
5,9,15.648103385230321
5,17,15.597523290350182
8,1,15.527740230409574
8,47,15.487589320571784
9,16,15.41972464162143
5,30,15.345546980144151
3,3,15.324939007612585
2,5,15.30206798224462
10,41,15.289313865131989
6,37,15.272893551449378
5,39,15.24413033345619
4,16,15.243111018030284
3,47,15.235609200217237
6,21,15.227738250845798
6,32,15.216045449588398
8,34,15.145804332763845
7,43,15.131025986519294
8,5,15.11782724626141
6,19,15.096762343810258
3,41,15.092519964259369
5,3,15.07515346517973
7,19,15.058235548412984
7,32,15.010488295349859
10,49,14.974023539942344
7,21,14.968330605633092
10,16,14.957811763674497
4,37,14.93695063844159
7,39,14.93157824967264
5,32,14.89632148092368
6,16,14.89085465834232
2,16,14.85542239000991
10,40,14.843786345228239
2,41,14.836118262078763
5,21,14.821881961733036
1,17,14.770433496764776
2,27,14.758455775427413
9,44,14.738617512763163
8,27,14.723349693324975
1,39,14.719764504004672
10,27,14.718367610597808
3,37,14.600214218515612
1,49,14.573402780781471
3,34,14.547830968372107
5,26,14.54119182524244
1,23,14.52703558333734
1,42,14.504816369600555
4,40,14.452436516741637
2,4,14.437956460574403
6,26,14.419301427985234
5,42,14.398552685368928
3,23,14.375123511610955
9,42,14.368536498450016
3,17,14.33037957411496
4,21,14.282959904762293
3,42,14.252074174756494
9,1,14.18564707022201
9,49,14.079438325991845
7,30,14.015042696547622
3,1,14.004854208213565
7,48,14.004336582976679
1,3,13.973432321619642
2,34,13.908844545877011
2,37,13.888766579505289
8,4,13.791195868669098
2,44,13.73754843698824
7,20,13.673640464510942
5,49,13.656341534203928
9,30,13.601478978357823
2,40,13.595282113106089
8,16,13.56006083055283
8,40,13.554712297313223
5,31,13.542419334145212
7,22,13.480277834586776
5,46,13.461700911001392
4,49,13.459861036915926
2,17,13.360022447084486
1,43,13.317586469408576
6,30,13.310778151496603
10,37,13.27467298966819
1,26,13.231521776996885
10,3,13.22889686570187
7,38,13.21201539028632
1,9,13.168887600129848
10,23,13.13835470334859
4,17,13.105719901049579
6,20,13.042867193786117
10,1,13.032363627244036
5,48,13.01567684973979
3,19,12.952422696627702
8,49,12.948940112976013
2,30,12.944300780455965
5,24,12.942210748761504
8,42,12.93750691613878
5,2,12.911766629222427
7,46,12.90560790451245
7,2,12.902471838378403
4,42,12.875633898942738
6,14,12.836325272757513
1,20,12.793404931180879
3,44,12.781709630626544
1,19,12.74595094133632
7,9,12.722382150132711
9,21,12.703555128293914
3,16,12.669039571660742
4,3,12.666307211682673
1,32,12.62693573063292
6,9,12.61734021091038
4,39,12.610939338063442
1,7,12.59357620170144
8,37,12.585637050890217
5,14,12.522806673660527
9,19,12.462558238914395
10,34,12.457646744968248
4,30,12.456327568618903
6,43,12.451385052982376
10,42,12.43258603650099
6,7,12.324898170909998
6,11,12.315293088742413
3,30,12.279189877092097
10,19,12.272248560833274
6,2,12.2620492091616
8,17,12.222844117513604
5,19,12.222315392863905
1,21,12.216459021799622
2,23,12.211047340474648
10,26,12.190596695651038
5,13,12.188575850502573
4,9,12.186477375439452
6,24,12.15104406908846
9,3,12.144300950593564
8,21,12.13078745337841
8,3,12.119866024729369
7,33,12.09667110532572
5,43,12.090255877117105
3,49,12.058892021517908
5,50,12.050089391082777
2,32,12.049418301906625
6,6,12.033970429031703
3,20,12.033275677138164
3,24,12.028344512031106
8,39,12.024811432060739
6,15,11.986596771862288
7,26,11.97671985791092
9,39,11.975718079216415
2,21,11.94583133834232
10,21,11.935631031632326
7,24,11.923423700057876
7,35,11.914864374192085
5,6,11.896485110977192
9,43,11.890672969902043
6,48,11.884455392961486
